pair_simplex,pair_hada,source,role,sense_count
헤아리다,생각하다,STDICT,simplex,3
헤아리다,생각하다,STDICT,hada,7
헤아리다,생각하다,Urimalsaem,simplex,3
헤아리다,생각하다,Urimalsaem,hada,7
부르다,노래하다,STDICT,simplex,10
부르다,노래하다,STDICT,hada,5
부르다,노래하다,Urimalsaem,simplex,10
부르다,노래하다,Urimalsaem,hada,5
게우다,토하다,STDICT,simplex,2
게우다,토하다,STDICT,hada,3
게우다,토하다,Urimalsaem,simplex,2
게우다,토하다,Urimalsaem,hada,3
굽다,요리하다,STDICT,simplex,7
굽다,요리하다,STDICT,hada,2
굽다,요리하다,Urimalsaem,simplex,7
굽다,요리하다,Urimalsaem,hada,2
덥다,따뜻하다,STDICT,simplex,4
덥다,따뜻하다,STDICT,hada,2
덥다,따뜻하다,Urimalsaem,simplex,4
덥다,따뜻하다,Urimalsaem,hada,2
